"","x"
"503","Vicinamibacterales"
"504","Blastocatellales"
"505","Subgroup_7"
"506","Thermoanaerobaculales"
"507","Victivallales"
"508","Pedosphaerales"
"509","Arctic97B-4_marine_group"
"510","Verrucomicrobiales"
"511","P.palmC41"
"512","Chthoniobacterales"
"513","Lentisphaerales"
"514","Chattonellales"
"515","Methanobacteriales"
"516","Gemmatimonadales"
"517","Longimicrobiales"
"518","Calanoida"
"519","Veneroida"
"520","Acanthoecida_or"
"521","Cyclopoida"
"522","Eurotiales"
"523","Tremellales"
"524","Sporidiobolales"
"525","Narcomedusae"
"526","Phyllodocida"
"527","Incertae_Sedis_or"
"528","Nephroselmidales"
"529","Peridiniphycidae_or"
"530","Peronosporomycetes_or"
"531","Sarcinochrysidales"
"532","Ochrophyta_or"
"533","Bacillariophyceae_or"
"534","Prymnesiophyceae_or"
"535","Coscinodiscophytina_or"
"536","Ochromonadales"
"537","Chromulinales"
"538","Eustigmatales"
"539","Fragilariales"
"540","Copelata"
"541","Synurales"
"542","Cydippida"
"543","Gymnodiniphycidae"
"544","Jakobida"
"545","Mytiloida"
"546","Diplostraca"
"547","Syndiniales_or"
"548","Subclade_B"
"549","Ustilaginales"
"550","Dothideales"
"551","Granofilosea_or"
"552","Heteronemertea"
"553","Ctenostomatida"
"554","Malasseziales"
"555","Trachymedusae"
"556","Scolecida_or"
"557","Myoida"
"558","Spionida"
"559","Polycladida"
"560","Diptera"
"561","Agaricales"
"562","Geastrales"
"563","Gomphales"
"564","Palaeonemertea"
"565","Pectinoida"
"566","Stolidobranchia"
"567","Sabellida"
"568","Enteropneusta_or"
"569","Caenogastropoda"
"570","Harpacticoida"
"571","Chlorarachniophyta_or"
"572","Helotiales"
"573","Zygentoma"
"574","Semaeostomeae"
"575","Filobasidiales"
"576","Erysiphales"
"577","Pleosporales"
"578","Lecanorales"
"579","Caliciales"
"580","Chaetothyriales"
"581","Hypocreales"
"582","Capnodiales"
"583","Xylariales"
"584","Russulales"
"585","Cystofilobasidiales"
"586","Trichosporonales"
"587","Hymenochaetales"
"588","Poecilosclerida"
"589","Cryptophyceae_or"
"590","Leucosporidiales"
"591","Pucciniales"
"592","Agaricostilbales"
"593","Auriculariales"
"594","Corticiales"
"595","Wallemiales"
"596","Robbauerales"
"597","Pavlovophyceae_or"
"598","Mucorales"
"599","Siphonophorae"
"600","Leptothecata"
"601","Vetigastropoda"
"602","Eunicida"
"603","Anthoathecata"
"604","Lobata"
"605","Beroida"
"606","Spongillida"
"607","Leucosolenida"
"608","Tetractinellida"
"609","Clionaida"
"610","Xenopneusta"
"611","Echiuroinea"
"612","Exobasidiales"
"613","Pennatulacea"
"614","Actiniaria"
"615","Pseudoperkinsidae"
"616","Ceriantharia"
"617","Scleractinia"
"618","Zoantharia"
"619","Salpida"
"620","Enterogona"
"621","Monostilifera"
"622","Lingulida"
"623","Pyrosomata"
"624","Codonosigidae"
"625","Adinetida"
"626","Siphonostomatoida"
"627","Dentaliida"
"628","Solemyoida"
"629","Conthreep"
"630","Phascolosomatiformes"
"631","Microstromatales"
"632","Haplosclerida"
"633","Terebellida"
"634","Opheliidae"
"635","Capitellida"
"636","Heterobranchia"
"637","Opiliones"
"638","Noctilucales"
"639","Tetramitia_or"
"640","Coccolithales_or"
"641","Pseudoscourfieldiales"
"642","Mamiellophyceae_or"
"643","shizugawa"
"644","Kathablepharidae_or"
"645","Colpodellida_or"
"646","Rhodymeniophycidae_or"
"647","Corallinophycidae_or"
"648","Coccidia"
"649","Subclade_A"
"650","Chaetopeltidales"
"651","Marine_Benthic_Group_A"
"652","Euglenophyceae_or"
"653","Neobodonida"
"654","Trypanosomatida"
"655","Parabodonida"
"656","Nitrosopumilales"
"657","Nanoarchaeia"
"658","Thermoplasmata"
"659","Oligoflexia"
"660","Alphaproteobacteria"
"661","Maxillopoda"
"662","Gammaproteobacteria"
"663","Phycisphaerae"
"664","Gracilibacteria"
"665","Planctomycetes"
"666","Pla3_lineage"
"667","Brocadiae"
"668","OM190"
"669","BD7-11"
"670","028H05-P-BN-P5"
"671","Bacteroidia"
"672","PAUC43f_marine_benthic_group"
"673","Nitrospinia"
"674","Desulfovibrionia"
"675","Caldatribacteriia"
"676","Desulfobulbia"
"677","Syntrophobacteria"
"678","Nitrospiria"
"679","Bdellovibrionia"
"680","Desulfobacteria"
"681","Desulfuromonadia"
"682","Clostridia"
"683","Bacilli"
"684","Polyangia"
"685","Campylobacteria"
"686","Myxococcia"
"687","Verrucomicrobiae"
"688","Subgroup_26"
"689","Vicinamibacteria"
"690","Blastocatellia"
"691","Holophagae"
"692","Thermoanaerobaculia"
"693","Acidobacteriae"
"694","Lentisphaeria"
"695","Methanobacteria"
"696","BD2-11_terrestrial_group"
"697","Gemmatimonadetes"
"698","Longimicrobia"
"699","Bivalvia"
"700","Choanoflagellida"
"701","Microbotryomycetes"
"702","Hydrozoa"
"703","Polychaeta"
"704","Incertae_Sedis_cl"
"705","Embryophyta"
"706","Kinetoplastea"
"707","Peronosporomycetes_cl"
"708","MAST-4D"
"709","Ochrophyta_cl"
"710","MOCH-2"
"711","Prymnesiophyceae_cl"
"712","Coscinodiscophytina_cl"
"713","MAST-3F"
"714","MAST-3E"
"715","MAST-3L"
"716","MAST-3I"
"717","Prasinophytae"
"718","MAST-3K"
"719","Appendicularia"
"720","MAST-3C"
"721","MAST-3D"
"722","MAST-3B"
"723","Tentaculata"
"724","ANT37-16"
"725","Discoba_cl"
"726","MAST-12A"
"727","Branchiopoda"
"728","Syndiniales"
"729","Clade_VII"
"730","Ophiuroidea"
"731","Malacostraca"
"732","Anopla"
"733","Mammalia"
"734","Gymnolaemata"
"735","Malasseziomycetes"
"736","Holothuroidea"
"737","Rhabditophora"
"738","Insecta"
"739","Ascidiacea"
"740","Enteropneusta"
"741","Gastropoda"
"742","Chlorarachniophyta"
"743","Arachnida"
"744","Scyphozoa"
"745","Lecanoromycetes"
"746","Saccharomycetes"
"747","Demospongiae"
"748","Cryptophyceae_cl"
"749","Wallemiomycetes"
"750","Pavlovophyceae_cl"
"751","Asteroidea"
"752","Echinoidea"
"753","Nuda"
"754","Calcarea"
"755","Anthozoa"
"756","Thaliacea"
"757","Enopla"
"758","Linguliformea"
"759","Bdelloidea"
"760","Scaphopoda"
"761","Clitellata"
"762","Chondrichthyes"
"763","Actinopterygii"
"764","Sarcopterygii"
"765","Aves"
"766","Dinoflagellata_cl"
"767","Tetramitia"
"768","SGUH624"
"769","Rhodymeniophycidae"
"770","Kathablepharidae_cl"
"771","Colpodellida"
"772","Corallinophycidae"
"773","Conoidasida"
"774","Clade_IX"
"775","Chromadorea"
"776","Nitrososphaeria"
"777","Euglenida"
"778","Nanoarchaeota"
"779","Thermoplasmatota"
"780","Bdellovibrionota"
"781","Proteobacteria"
"782","Ochrophyta_ph"
"783","Arthropoda"
"784","Planctomycetota"
"785","Patescibacteria"
"786","Bacteroidota"
"787","Gemmatimonadota"
"788","Nitrospinota"
"789","NB1-j"
"790","Desulfobacterota"
"791","Caldatribacteriota"
"792","Nitrospirota"
"793","Firmicutes"
"794","Myxococcota"
"795","Campilobacterota"
"796","SAR324_clade(Marine_group_B)"
"797","Diatomea"
"798","Dinoflagellata"
"799","Verrucomicrobiota"
"800","Acidobacteriota"
"801","Euryarchaeota"
"802","Poribacteria"
"803","Mollusca"
"804","Holozoa_ph"
"805","Cercozoa"
"806","Cnidaria"
"807","Annelida"
"808","Incertae_Sedis_ph"
"809","Phragmoplastophyta"
"810","Chlorophyta_ph"
"811","Euglenozoa"
"812","Vertebrata"
"813","Peronosporomycetes"
"814","MAST-4"
"815","MAST-1"
"816","Labyrinthulomycetes"
"817","MAST-3"
"818","MAST-2"
"819","Stramenopiles_ph"
"820","MAST-6"
"821","Bicosoecida"
"822","Tunicata"
"823","Ctenophora"
"824","T58"
"825","Discoba_ph"
"826","MAST-12"
"827","Echinodermata"
"828","Nemertea"
"829","Bryozoa"
"830","Platyhelminthes"
"831","Lophophorata"
"832","Hemichordata"
"833","Porifera"
"834","Cryptophyceae_ph"
"835","Pavlovophyceae"
"836","Amoebozoa_ph"
"837","Pav3"
"838","Rotifera"
"839","Heterolobosea"
"840","Florideophycidae"
"841","Kathablepharidae"
"842","Protosteliida"
"843","Nematozoa"
"844","Crenarchaeota"
"845","SA1-3C06"
