"","x"
"697","Mytiloida"
"698","Leptothecata"
"699","Gregarinasina"
"700","Perkinsidae_or"
"701","ME-Euk-FW10"
"702","Subclade A"
"703","Ustilaginales"
"704","Dothideales"
"705","Heterobranchia"
"706","Granofilosea_or"
"707","Chromadorida"
"708","Heteronemertea"
"709","Aphragmophora"
"710","Cephalopoda_or"
"711","Ctenostomatida"
"712","Malasseziales"
"713","Polychaeta_or"
"714","Pholadomyoida"
"715","Myoida"
"716","Spionida"
"717","Terebellida"
"718","Polycladida"
"719","Sessilia"
"720","Diptera"
"721","Nucleariidae and Fonticula group_or"
"722","Halocyprida"
"723","Spongomonadida"
"724","Agaricales"
"725","Gomphales"
"726","Limoida"
"727","Pectinoida"
"728","Stolidobranchia"
"729","Codonosigidae"
"730","Enteropneusta_or"
"731","Caenogastropoda"
"732","Poecilostomatoida"
"733","Harpacticoida"
"734","Cercozoa_or"
"735","Helotiales"
"736","Ebriacea"
"737","Lepidoptera"
"738","Diplostraca"
"739","Blattodea"
"740","Hymenoptera"
"741","Thysanoptera"
"742","Semaeostomeae"
"743","Glissomonadida_or"
"744","Filobasidiales"
"745","Chaetothyriales"
"746","Erysiphales"
"747","Pleosporales"
"748","Lecanorales"
"749","Caliciales"
"750","Onygenales"
"751","Hypocreales"
"752","Capnodiales"
"753","Xylariales"
"754","Wallemiales"
"755","Cystofilobasidiales"
"756","Trichosporonales"
"757","Hymenochaetales"
"758","Poecilosclerida"
"759","Incertae Sedis_16"
"760","Pucciniales"
"761","Agaricostilbales"
"762","Corticiales"
"763","Robbauerales"
"764","Pavlovophyceae_or"
"765","Siphonophorae"
"766","Narcomedusae"
"767","Trachymedusae"
"768","Azygiida"
"769","Trypanorhyncha"
"770","Codosigidae"
"771","Dictyoceratida"
"772","Palaeonemertea"
"773","Vetigastropoda"
"774","Salpida"
"775","Eunicida"
"776","Anthoathecata"
"777","Platyctenida"
"778","Lobata"
"779","Beroida"
"780","Spongillida"
"781","Neoloricata"
"782","Leucosolenida"
"783","Tetractinellida"
"784","Clionaida"
"785","Murrayonida"
"786","Xenopneusta"
"787","Echiuroinea"
"788","Actiniaria"
"789","Cyclostomatida"
"790","Ceriantharia"
"791","Alcyonacea"
"792","Scleractinia"
"793","Zoantharia"
"794","Enterogona"
"795","Monostilifera"
"796","Pyrosomata"
"797","Macrostomida"
"798","Bdelloidea_or"
"799","Monstrilloida"
"800","Phaeocystina_or"
"801","Dentaliida"
"802","Solemyoida"
"803","Incertae Sedis_4_or"
"804","Phaeogromia_or"
"805","Cheilostomatida"
"806","Haplosclerida"
"807","Phascolosomatiformes"
"808","Microstromatales"
"809","Acantharea Group VI"
"810","Sabellida"
"811","Capitellida"
"812","Haplotaxida"
"813","Opheliidae"
"814","Acantharea Group II"
"815","Conthreep"
"816","Protalveolata_or"
"817","Noctilucales"
"818","Gracilipodida_or"
"819","Haplosporida"
"820","Apusomonadidae_or"
"821","Ascetosporea_or"
"822","Kathablepharidae_or"
"823","Ancyromonadida_or"
"824","Coccolithales_or"
"825","Acantharea Group I"
"826","Pseudoscourfieldiales"
"827","Compsopogonales_or"
"828","DSGM-81"
"829","Mamiellophyceae_or"
"830","shizugawa"
"831","Centrohelida_or"
"832","Phytomyxea_or"
"833","Cryptosporida"
"834","Corallinophycidae_or"
"835","Rhodymeniophycidae_or"
"836","Chaunocanthida"
"837","Holocanthida"
"838","Arthracanthida"
"839","Foraminifera_or"
"840","Monhysterida"
"841","Incertae Sedis_8"
"842","Incertae Sedis_17"
"843","Vannellida"
"844","Breviatea_or"
"845","Marine Benthic Group A"
"846","Protosteliida_or"
"847","Heteronematina"
"848","Kinetoplastea_or"
"849","Neobodonida"
"850","Trypanosomatida"
"851","Eubodonida"
"852","Nitrosopumilales"
"853","Thermoplasmata"
"854","Oligoflexia"
"855","Alphaproteobacteria"
"856","bacteriap25"
"857","Gammaproteobacteria"
"858","MAST-12D"
"859","Phycisphaerae"
"860","Gracilibacteria"
"861","Planctomycetes"
"862","Pla3 lineage"
"863","Brocadiae"
"864","OM190"
"865","BD7-11"
"866","028H05-P-BN-P5"
"867","PAUC43f marine benthic group"
"868","Nitrospinia"
"869","Desulfovibrionia"
"870","Caldatribacteriia"
"871","Desulfobulbia"
"872","Nitrospiria"
"873","Bdellovibrionia"
"874","Desulfobacteria"
"875","Desulfuromonadia"
"876","Clostridia"
"877","Bacilli"
"878","Polyangia"
"879","Myxococcia"
"880","Campylobacteria"
"881","Acidimicrobiia"
"882","Verrucomicrobiae"
"883","Subgroup 26"
"884","Vicinamibacteria"
"885","Blastocatellia"
"886","Holophagae"
"887","Thermoanaerobaculia"
"888","Acidobacteriae"
"889","Lentisphaeria"
"890","Methanobacteria"
"891","BD2-11 terrestrial group"
"892","MD2902-B12"
"893","Longimicrobia"
"894","Gemmatimonadetes"
"895","Maxillopoda"
