"Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Acanthodesmoidea","Ceratospyris","Ceratospyris_hyperborea","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Acanthodesmoidea","Ceratospyris",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Nassellaria_X","Nassellaria_XX","Nassellaria_XX_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria",NA,NA,NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Collophidiidae","Collophidium","Collophidium_ellipsoides","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Collophidiidae","Collophidium",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Sphaerozoidae","Rhaphidozoum","Rhaphidozoum_acuferum","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Sphaerozoidae","Rhaphidozoum",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Sphaerozoidae","Collozoum","Collozoum_pelagicum","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Sphaerozoidae","Collozoum",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Plagiacanthoidea","Lithomelissa","Lithomelissa_sp.","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Plagiacanthoidea","Lithomelissa",NA
"Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like","Carpediomonas-like_X","Carpediomonas-like_X_sp.","Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like",NA,NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Nannochloris","Nannochloris_maculatum","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Nannochloris",NA
"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Ostracoda","Trachyleberis","Trachyleberis_sp.","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Ostracoda","Trachyleberis",NA
"Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Himatismenida","Himatismenida_X","Himatismenida_XX","Himatismenida_XX_sp.","Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Himatismenida",NA,NA,NA
"Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Agamococcidiorida","Rhytidocystidae","Rhytidocystis","Rhytidocystis_cyamus","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Agamococcidiorida","Rhytidocystidae","Rhytidocystis",NA
"Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like","Kipferlia","Kipferlia_bialata","Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like","Kipferlia",NA
"Eukaryota","Archaeplastida","Chlorophyta","Ulvophyceae","Oltmansiellopsidales","Oltmansiellopsidales_X","Oltmannsiellopsis","Oltmannsiellopsis_geminata","Eukaryota","Archaeplastida","Chlorophyta","Ulvophyceae","Oltmansiellopsidales","Oltmansiellopsidales_X","Oltmannsiellopsis",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana2","Caliculium_glossobalani","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana2",NA
"Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Sphaerozosma","Sphaerozosma_granulatum","Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Sphaerozosma",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines_GRE4","Gregarines_GRE4_X","Gregarines_GRE4_XX","Gregarines_GRE4_XX_sp.","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines",NA,NA,NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana2","Trachyphloeus_angustisetulus","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana2",NA
"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Campylodiscus","Campylodiscus_ralfsii","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Campylodiscus",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium2","Selenidium2_sp.","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium2",NA
"Eukaryota","Alveolata","Ciliophora","Heterotrichea","Heterotrichea_X","Peritromidae","Peritromus","Peritromus_kahli","Eukaryota","Alveolata","Ciliophora","Heterotrichea","Heterotrichea_X","Peritromidae","Peritromus",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Acantharea_XXX","Acantharea_XXX_sp.","Eukaryota","Rhizaria","Radiolaria","Acantharea",NA,NA,NA,NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Acanthostaurus","Acanthostaurus_nordgaardi","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Acanthostaurus",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Gigartacon","Gigartacon_fragilis","Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Gigartacon",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Amphiacon","Amphiacon_denticulatus","Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Amphiacon",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Acanthocolla","Acanthocolla_cruciata","Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Acanthocolla",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Acanthocolla","Acanthocolla_solidissima","Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Acanthocolla",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Trizona","Trizona_brandti","Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_X","Acantharea_XX","Trizona",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Chaunacanthida_XX","Chaunacanthida_XX_sp.","Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida",NA,NA,NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Stauracon","Stauracon_pallidus","Eukaryota","Rhizaria","Radiolaria","Acantharea","Chaunacanthida","Chaunacanthida_X","Stauracon",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Acantharian","Acantharian_sp.","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Acantharian",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphilonche","Amphilonche_elongata","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphilonche",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphibelone","Amphibelone_anomala","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphibelone",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Xiphacantha","Xiphacantha_quadridentata","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Xiphacantha",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphibelone","Amphibelone_cultellata","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Amphibelone",NA
"Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Coleaspis","Coleaspis_vaginata","Eukaryota","Rhizaria","Radiolaria","Acantharea","Arthracanthida-Symphyacanthida","Arthracanthida-Symphyacanthida_X","Coleaspis",NA
"Eukaryota","Apusozoa","Hilomonadea","Planomonadida","Planomonadidae","Planomonadidae_X","Rigifila","Rigifila_ramosa","Eukaryota","Apusozoa","Hilomonadea","Planomonadida","Planomonadidae","Planomonadidae_X","Rigifila",NA
"Eukaryota","Excavata","Discoba","Jakobida","Jakobida_X","Jakobidae","Seculamonas","Seculamonas_ecuadoriensis","Eukaryota","Excavata","Discoba","Jakobida","Jakobida_X","Jakobidae","Seculamonas",NA
"Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Selaginella","Selaginella_vogelii","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Selaginella",NA
"Eukaryota","Archaeplastida","Rhodophyta","Porphyridiophyceae","Porphyridiales","Porphyridiales_X","Porphyridium","Porphyridium_aerugineum","Eukaryota","Archaeplastida","Rhodophyta","Porphyridiophyceae","Porphyridiales","Porphyridiales_X","Porphyridium",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Stichococcus","Stichococcus_jenerensis","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Stichococcus",NA
"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_closterium_f._minutissima","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia",NA
"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cymbella","Cymbella_sigmoidea","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cymbella",NA
"Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Stygamoebida","Vermistella-lineage","Vermistella","Vermistella_antarctica","Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Stygamoebida","Vermistella-lineage","Vermistella",NA
"Eukaryota","Apusozoa","Hilomonadea","Planomonadida","Planomonadidae","Planomonadidae_Group-1","Ancyromonas","Ancyromonas_kenti","Eukaryota","Apusozoa","Hilomonadea","Planomonadida","Planomonadidae","Planomonadidae_Group-1","Ancyromonas",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Trichophilus","Trichophilus_welckeri","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Trichophilus",NA
"Eukaryota","Hacrobia","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovaceae","Pavlova","Pavlova_pinguis","Eukaryota","Hacrobia","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovaceae","Pavlova",NA
"Eukaryota","Hacrobia","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovaceae","Exanthemachrysis","Exanthemachrysis_sp.","Eukaryota","Hacrobia","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovaceae","Exanthemachrysis",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Prototheca","Prototheca_ulmea","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Prototheca",NA
"Eukaryota","Alveolata","Ciliophora","Phyllopharyngea","Cyrtophoria_7","Hartmannulidae","Hartmannula","Hartmannula_sinica","Eukaryota","Alveolata","Ciliophora","Phyllopharyngea","Cyrtophoria_7","Hartmannulidae","Hartmannula",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Pabia","Pabia_signensis","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales_X","Pabia",NA
"Eukaryota","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon","Chloropicon_sp.","Eukaryota","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Watanabea","Watanabea_reniformis","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Watanabea",NA
"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_parkeae","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium1","Selenidium1_neosabellariae","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines","Gregarines_X","Selenidium1",NA
"Eukaryota","Amoebozoa","Conosa","Variosea","Variosea_X","Soliformoviids","Grellamoeba","Grellamoeba_robusta","Eukaryota","Amoebozoa","Conosa","Variosea","Variosea_X","Soliformoviids","Grellamoeba",NA
"Eukaryota","Archaeplastida","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pycnococcaceae","Pseudoscourfieldia","Pseudoscourfieldia_marina","Eukaryota","Archaeplastida","Chlorophyta","Prasino-Clade-V","Pseudoscourfieldiales","Pycnococcaceae","Pseudoscourfieldia",NA
"Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Holostichidae","Anteholosticha","Anteholosticha_paramanca","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Holostichidae","Anteholosticha",NA
"Eukaryota","Alveolata","Ciliophora","Spirotrichea","Euplotia","Euplotidae","Euplotes","Euplotes_novemcarinatus","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Euplotia","Euplotidae","Euplotes",NA
"Eukaryota","Alveolata","Alveolata_X","Alveolata_XX","Alveolata_XXX","Alveolata_XXXX","Filipodium","Filipodium_phascolosomae","Eukaryota","Alveolata","Alveolata_X","Alveolata_XX","Alveolata_XXX","Alveolata_XXXX","Filipodium",NA
"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Mychonastes","Mychonastes_rotundus","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Mychonastes",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Trichiales","Trichiaceae","Metatrichia","Metatrichia_floriformis","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Trichiales","Trichiaceae","Metatrichia",NA
